LABELS
SEPARATOR TAB

DATA
OP581764.1	A|Gambia|2021-02-13|OP581764.1
MT890229.1	A.11|Ghana|2020-05-23|MT890229.1
MT872500.1	A.12|Sierra Leone|2020-04-13|MT872500.1
OQ050878.1	A.18|Nigeria|2021-08-02|OQ050878.1
OQ050877.1	A.19|Nigeria|2021-08-04|OQ050877.1
OL601929.1	A.21|Mali|2021-01-05|OL601929.1
OL548948.1	A.23|Kenya|2020-12-17|OL548948.1
OL548959.1	A.23.1|Kenya|2021-01-10|OL548959.1
OL914963.1	A.25|Kenya|2020-08-13|OL914963.1
OP581627.1	A.27|Gambia|2021-02-21|OP581627.1
MW504609.1	A.28|Egypt|2020-12-25|MW504609.1
OQ521495.1	A.29|Cameroon|2021-02-03|OQ521495.1
OQ051139.1	AY.1|Nigeria|2021-07-27|OQ051139.1
OM635146.1	AY.100|Djibouti|2021-12-06|OM635146.1
OL351388.1	AY.106|Egypt|2021-10-22|OL351388.1
OP522557.1	AY.107|South Africa|2021-08-12|OP522557.1
OL601905.1	AY.108|Nigeria|2021-08-02|OL601905.1
OQ051616.1	AY.109|Nigeria|2021-09-01|OQ051616.1
OQ521457.1	AY.111|Cameroon|2021-08-16|OQ521457.1
OQ051350.1	AY.112|Nigeria|2021-08-09|OQ051350.1
